TEXT,INTEGER,TEXT,NUMERIC(5|2),INTEGER,INTEGER,INTEGER,INTEGER,TEXT
department,course_number,course_title,semester_hours,fall,spring,summer,winter,equivalent_with
CEEN,423,SURVEYING FOR ENGINEERS AND INFRASTRUCTURE DESIGN PRACTICES, 3.0,1,0,0,0,
CEEN,425,CEMENTITIOUS MATERIALS FOR CONSTRUCTION, 3.0,,,,,
CEEN,426,DURABILITY OF CONCRETE, 3.0,,,,,
CEEN,430,ADVANCED STRUCTURAL ANALYSIS, 3.0,1,0,0,0,
CEEN,433,MATRIX STRUCTURAL ANALYSIS, 3.0,,,,,CEEN533
CEEN,441,INTRODUCTION TO THE SEISMIC DESIGN OF STRUCTURES, 3.0,1,0,0,0,
CEEN,442,TIMBER AND MASONRY DESIGN, 3.0,1,0,0,0,
CEEN,443,DESIGN OF STEEL STRUCTURES, 3.0,1,1,0,0,
CEEN,445,DESIGN OF REINFORCED CONCRETE STRUCTURES, 3.0,1,1,0,0,
CEEN,446,STRUCTURAL LOADS, 3.0,,,,,
CEEN,460,MOLECULAR MICROBIAL ECOLOGY AND THE ENVIRONMENT, 3.0,1,0,0,0,
CEEN,461,FUNDAMENTALS OF ECOLOGY, 3.0,,,,,
CEEN,470,WATER AND WASTEWATER TREATMENT PROCESSES, 3.0,,,,,BELS453&EGGN453&ESGN453
CEEN,471,WATER AND WASTEWATER TREATMENT SYSTEMS ANALYSIS AND DESIGN, 3.0,1,0,0,0,
CEEN,472,ONSITE WATER RECLAMATION AND REUSE, 3.0,1,0,0,0,
CEEN,473,HYDRAULIC PROBLEMS, 3.0,,,,,
CEEN,475,SITE REMEDIATION ENGINEERING, 3.0,,,,,
CEEN,477,SUSTAINABLE ENGINEERING DESIGN, 3.0,1,0,0,0,
CEEN,479,AIR POLLUTION, 3.0,1,0,0,0,
CEEN,480,CHEMICAL FATE AND TRANSPORT IN THE ENVIRONMENT, 3.0,,,,,ESGN440
CEEN,482,HYDROLOGY AND WATER RESOURCES LABORATORY, 3.0,1,0,0,0,
CEEN,492,ENVIRONMENTAL LAW, 3.0,,,,,CEEN592&PEGN530
CEEN,498,SPECIAL TOPICS IN CIVIL AND ENVIRONMENTAL ENGINEERING,,1,1,0,0,
CEEN,499,INDEPENDENT STUDY,,,,,,
CHGN,111,INTRODUCTORY CHEMISTRY, 3.0,0,0,1,0,
CHGN,121,PRINCIPLES OF CHEMISTRY I, 4.0,,,,,
CHGN,122,PRINCIPLES OF CHEMISTRY II (SC1), 4.0,,,,,
CHGN,125,MOLECULAR ENGINEERING & MATERIALS CHEMISTRY, 4.0,1,1,0,0,
CHGN,198,SPECIAL TOPICS, 6.0,1,1,0,0,
CHGN,199,INDEPENDENT STUDY,,1,1,0,0,
CHGN,209,INTRODUCTION TO CHEMICAL THERMODYNAMICS, 3.0,,,,,
CHGN,221,ORGANIC CHEMISTRY I, 3.0,1,0,1,0,
CHGN,222,ORGANIC CHEMISTRY II, 3.0,0,1,1,0,
CHGN,223,ORGANIC CHEMISTRY I LABORATORY, 1.0,,,,,
CHGN,224,ORGANIC CHEMISTRY II LABORATORY, 1.0,0,1,1,0,
CHGN,298,SPECIAL TOPICS,,1,1,0,0,
CHGN,299,INDEPENDENT STUDY,,1,1,0,0,
CHGN,311,INTRODUCTION TO NANOSCIENCE AND NANOTECHNOLOGY, 3.0,1,0,0,0,
CHGN,323,QUALITATIVE ORGANIC ANALYSIS AND APPLIED SPECTROSCOPY, 2.0,1,0,0,0,
CHGN,335,INSTRUMENTAL ANALYSIS, 3.0,1,0,0,0,
CHGN,336,ANALYTICAL CHEMISTRY, 3.0,,,,,
CHGN,337,ANALYTICAL CHEMISTRY LABORATORY, 1.0,,,,,
CHGN,340,COOPERATIVE EDUCATION, 3.0,,,,,
CHGN,341,INORGANIC CHEMISTRY I, 3.0,1,0,0,0,
CHGN,351,PHYSICAL CHEMISTRY: A MOLECULAR PERSPECTIVE I, 4.0,1,1,1,0,
CHGN,353,PHYSICAL CHEMISTRY: A MOLECULAR PERSPECTIVE II, 4.0,1,0,0,0,
CHGN,395,INTRODUCTION TO UNDERGRADUATE RESEARCH, 1.0,1,0,0,0,
